Player,Nation,Pos,Squad,25/26 Lg,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,Accurate passes per 90,Chances Created
Dayot Upamecano,fr FRA,DF,RB Leipzig,Bundesliga,17,1998,12,8,667,7.4,0,0,0,0,0,0,3,0,15,3.0,0.0,1.0,27.0,17.0,-,-
Christian Pulisic,us USA,MF,Dortmund,Bundesliga,17,1998,29,15,1525,16.9,3,7,10,3,0,0,1,0,19,33.0,3.0,27.0,18.0,20.0,-,-
Victor Osimhen,ng NGA,FW,Wolfsburg,Bundesliga,17,1998,2,0,47,0.5,0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,2.0,0.0,-,-
Weston McKennie,us USA,MF,Schalke 04,Bundesliga,17,1998,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-,-
Arne Maier,de GER,MF,Hertha BSC,Bundesliga,17,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-,-
Julius Kade,de GER,MF,Hertha BSC,Bundesliga,17,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,-,-
Vasilije Janjicic,ch SUI,MF,Hamburger SV,Bundesliga,17,1998,4,2,176,2.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,6.0,5.0,-,-
Kai Havertz,de GER,"MF,FW",Leverkusen,Bundesliga,17,1999,24,15,1453,16.1,4,4,8,4,0,0,2,0,28,19.0,1.0,19.0,19.0,16.0,-,-
Kevin Danso,at AUT,DF,Augsburg,Bundesliga,17,1998,7,7,612,6.8,0,0,0,0,0,0,0,0,10,7.0,0.0,0.0,19.0,10.0,-,-
Florian Baak,de GER,DF,Hertha BSC,Bundesliga,17,1999,2,0,15,0.2,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,-,-
Jordan Torunarigha,de GER,DF,Hertha BSC,Bundesliga,18,1997,8,5,484,5.4,1,0,1,1,0,0,1,0,6,8.0,0.0,1.0,17.0,5.0,-,-
Bernard Tekpetey,gh GHA,"FW,MF",Schalke 04,Bundesliga,18,1997,2,0,5,0.1,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,-,-
Niklas Schmidt,de GER,"FW,MF",Werder Bremen,Bundesliga,18,1998,1,0,15,0.2,0,1,1,0,0,0,0,0,0,0.0,0.0,2.0,1.0,1.0,-,-
Renato Sanches,pt POR,MF,Bayern Munich,Bundesliga,18,1997,17,6,621,6.9,0,0,0,0,0,0,3,0,14,13.0,1.0,3.0,11.0,6.0,-,-
Fabian Reese,de GER,FW,Schalke 04,Bundesliga,18,1997,3,1,74,0.8,0,0,0,0,0,0,0,0,1,0.0,2.0,5.0,0.0,0.0,-,-
Felix Passlack,de GER,"DF,MF",Dortmund,Bundesliga,18,1998,10,6,534,5.9,0,0,0,0,0,0,1,0,6,7.0,0.0,13.0,7.0,13.0,-,-
Salih Özcan,tr TUR,MF,Köln,Bundesliga,18,1998,13,3,372,4.1,0,1,1,0,0,0,2,1,12,9.0,1.0,0.0,10.0,7.0,-,-
Bakery Jatta,gm GAM,MF,Hamburger SV,Bundesliga,18,1998,6,1,183,2.0,0,0,0,0,0,0,0,0,4,4.0,0.0,4.0,5.0,7.0,-,-
Dženis Burnić,ba BIH,DF,Dortmund,Bundesliga,18,1998,1,1,90,1.0,0,0,0,0,0,0,1,0,0,0.0,0.0,2.0,2.0,1.0,-,-
Josip Brekalo,hr CRO,"FW,MF",Wolfsburg,Bundesliga,18,1998,4,0,80,0.9,0,0,0,0,0,0,1,0,2,2.0,0.0,3.0,1.0,1.0,-,-
László Bénes,sk SVK,MF,Gladbach,Bundesliga,18,1997,8,3,288,3.2,1,0,1,1,0,0,0,0,5,7.0,0.0,9.0,9.0,4.0,-,-
Aymen Barkok,ma MAR,MF,Frankfurt,Bundesliga,18,1998,18,6,659,7.3,2,2,4,2,0,0,1,0,25,5.0,0.0,1.0,21.0,21.0,-,-
Leon Bailey,jm JAM,"FW,MF",Leverkusen,Bundesliga,18,1997,8,0,140,1.6,0,0,0,0,0,0,1,0,2,4.0,1.0,7.0,3.0,1.0,-,-
Jesús Vallejo,es ESP,DF,Frankfurt,Bundesliga,19,1997,25,22,2057,22.9,1,0,1,1,0,0,4,0,19,10.0,0.0,1.0,71.0,24.0,-,-
Djibril Sow,ch SUI,MF,Gladbach,Bundesliga,19,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-,-
Ba-Muaka Simakala,cg CGO,FW,Gladbach,Bundesliga,19,1997,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-,-
Suat Serdar,de GER,MF,Mainz 05,Bundesliga,19,1997,8,4,330,3.7,0,0,0,0,0,0,1,0,13,5.0,0.0,0.0,15.0,11.0,-,-
Finn Porath,de GER,MF,Hamburger SV,Bundesliga,19,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-,-
Philipp Ochs,de GER,"MF,DF",Hoffenheim,Bundesliga,19,1997,3,2,145,1.6,0,0,0,0,0,0,1,0,5,0.0,0.0,3.0,2.0,5.0,-,-
Maurice Multhaup,de GER,MF,Ingolstadt,Bundesliga,19,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-,-
Emre Mor,tr TUR,"MF,FW",Dortmund,Bundesliga,19,1997,12,5,478,5.3,1,1,2,1,0,0,0,1,10,18.0,0.0,15.0,6.0,7.0,-,-
Justin Möbius,de GER,MF,Wolfsburg,Bundesliga,19,1997,2,0,48,0.5,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,-,-
Maximilian Mittelstädt,de GER,"DF,MF",Hertha BSC,Bundesliga,19,1997,12,5,466,5.2,0,1,1,0,0,0,5,1,11,5.0,1.0,14.0,15.0,16.0,-,-
Borja Mayoral,es ESP,FW,Wolfsburg,Bundesliga,19,1997,19,3,388,4.3,2,0,2,2,0,0,1,0,4,9.0,1.0,0.0,2.0,1.0,-,-
Ousman Manneh,gm GAM,FW,Werder Bremen,Bundesliga,19,1997,6,6,486,5.4,1,0,1,1,0,0,2,0,19,16.0,6.0,1.0,3.0,6.0,-,-
Thilo Kehrer,de GER,DF,Schalke 04,Bundesliga,19,1996,16,12,1080,12.0,1,1,2,1,0,0,3,1,24,20.0,1.0,12.0,45.0,28.0,-,-
Jannes Horn,de GER,"DF,MF",Wolfsburg,Bundesliga,19,1997,13,10,976,10.8,0,1,1,0,0,0,2,0,5,12.0,0.0,25.0,25.0,15.0,-,-
Benjamin Henrichs,de GER,DF,Leverkusen,Bundesliga,19,1997,29,27,2427,27.0,0,2,2,0,0,0,1,0,27,34.0,1.0,30.0,103.0,72.0,-,-
Breel Embolo,ch SUI,"FW,MF",Schalke 04,Bundesliga,19,1997,7,4,341,3.8,2,0,2,2,0,0,0,0,7,8.0,7.0,6.0,6.0,7.0,-,-
Nico Elvedi,ch SUI,DF,Gladbach,Bundesliga,19,1996,25,23,2106,23.4,0,0,0,0,0,0,4,0,21,26.0,0.0,19.0,74.0,39.0,-,-
Maximilian Eggestein,de GER,MF,Werder Bremen,Bundesliga,19,1996,15,8,891,9.9,1,0,1,1,0,0,2,0,7,12.0,1.0,1.0,30.0,16.0,-,-
Ousmane Dembélé,fr FRA,"MF,FW",Dortmund,Bundesliga,19,1997,32,22,2036,22.6,6,11,17,6,0,0,7,0,23,62.0,5.0,98.0,22.0,22.0,-,-
Max Christiansen,de GER,MF,Ingolstadt,Bundesliga,19,1996,11,4,443,4.9,0,0,0,0,0,0,3,1,8,10.0,0.0,5.0,14.0,9.0,-,-
Oliver Burke,sct SCO,"FW,MF",RB Leipzig,Bundesliga,19,1997,25,5,632,7.0,1,2,3,1,0,0,1,0,10,6.0,6.0,10.0,6.0,5.0,-,-
Max Besuschkow,de GER,MF,Frankfurt,Bundesliga,19,1997,3,1,87,1.0,0,0,0,0,0,0,1,0,3,2.0,0.0,3.0,1.0,3.0,-,-
