Player,Nation,Pos,Squad,25/26 Lg,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,Accurate passes per 90,Chances Created,Possession won final 3rd per 90
Abdoul Coulibaly,Germany,CB,Werder Bremen,Bundesliga,19,2007,27,24,2120,23.6,1,0,1,1,0,0,5,1,18.0,9.0,1.0,13.0,24.0,14.0,52.8,7,
Abdoul Kone,France,CB,RB Leipzig,Ligue 2,21,2005,28,25,2247,25.0,1,1,2,1,0,0,9,1,30.0,39.0,0.0,3.0,25.0,23.0,58.3,4,
Aboubaka Soumahoro,France,CB,Hamburger SV,Bundesliga,21,2005,4,2,136,1.5,0,0,0,0,0,0,1,0,3.0,0.0,1.0,1.0,0.0,0.0,-,1,
Axel Tapé,France,CB,Leverkusen,Bundesliga,19,2007,6,2,222,2.5,0,0,0,0,0,0,1,0,7.0,7.0,0.0,0.0,1.0,1.0,-,-,
El Chadaille Bitshiabu,France,CB,RB Leipzig,Bundesliga,21,2005,11,8,655,7.3,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,6.0,6.0,58.1,2,
Elias Bakatukanda,Germany,CB,Köln,Aut Bundesliga,22,2004,15,14,1275,14.2,0,0,0,0,0,0,1,0,15.0,4.0,0.0,2.0,24.0,22.0,-,3,
Fabio Chiarodia,Italy,CB,Gladbach,Bundesliga,21,2005,15,8,674,7.5,0,0,0,0,0,0,1,0,8.0,1.0,0.0,0.0,13.0,9.0,-,1,
Filippo Mane,Italy,CB,Dortmund,Bundesliga,21,2005,4,2,131,1.5,0,0,0,0,0,0,0,1,1.0,2.0,0.0,1.0,2.0,0.0,-,-,
Finn Jeltsch,Germany,CB,Stuttgart,Bundesliga,20,2006,23,17,1511,16.8,0,1,1,0,0,0,3,0,13.0,16.0,3.0,3.0,19.0,14.0,56.7,5,
Jahmai Simpson-Pusey,England,CB,Köln,Bundesliga,20,2005,11,10,863,9.6,0,0,0,0,0,0,2,1,4.0,4.0,0.0,2.0,12.0,8.0,-,2,
Jeanuël Belocian,France,CB,Leverkusen,Bundesliga,21,2005,22,17,1546,17.1,0,1,1,0,0,0,3,0,23.0,13.0,0.0,8.0,18.0,19.0,37.6,5,0.2
Joane Gadou,France,CB,Dortmund,Aut Bundesliga,19,2007,19,18,1572,17.5,0,0,0,0,0,0,4,2,20.0,1.0,0.0,0.0,29.0,28.0,56.9,4,
Julian Pauli,England,CB,Köln,2 Lg,21,2005,21,21,1793,19.9,0,1,1,0,0,0,3,0,18.0,11.0,0.0,2.0,30.0,26.0,49.2,6,
Kacper Potulski,Poland,CB,Mainz 05,Bundesliga,19,2007,15,9,1065,11.8,1,0,1,1,0,0,3,0,17.0,5.0,0.0,2.0,19.0,15.0,-,2,
Leopold Querfeld,Austria,CB,Union Berlin,Bundesliga,22,2003,31,30,2705,30.1,3,0,3,1,2,3,7,0,46.0,28.0,0.0,3.0,35.0,27.0,32.4,21,0.1
Luca Reggiani,Italy,CB,Dortmund,Bundesliga,18,2008,8,6,511,5.7,1,0,1,1,0,0,2,0,4.0,2.0,0.0,1.0,2.0,10.0,-,2,
Mattes Hansen,Germany,CB,Paderborn,2 Lg,22,2004,29,19,1721,19.1,0,1,1,0,0,0,7,1,24.0,13.0,1.0,13.0,32.0,28.0,52.8,16,
Mertcan Ayhan,Turkey,CB,Schalke 04,2 Lg,20,2006,27,20,1938,21.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,8,
Nnamdi Collins,Germany,CB,Frankfurt,Bundesliga,22,2004,23,16,1500,16.7,1,2,3,1,0,0,4,0,22.0,19.0,0.0,4.0,24.0,38.0,56.7,3,0.2
Noahkai Banks,United States,CB,Augsburg,Bundesliga,19,2006,23,20,1725,19.2,1,1,2,1,0,0,8,0,29.0,18.0,3.0,4.0,18.0,29.0,41.4,7,0.2
Oluwaseun Ogbemudia,Germany,CB,Union Berlin,3 Lg,20,2006,16,13,1166,13.0,0,1,1,0,0,0,4,0,-,-,-,-,-,-,-,9,
Otavio,Brazil,CB,Frankfurt,Liga Portugal,21,2005,22,17,1353,15.0,0,1,1,0,0,0,5,0,27.0,15.0,0.0,5.0,38.0,25.0,30.5,4,
Rav van den Berg,Netherlands,CB,Köln,Bundesliga,22,2004,14,12,1131,12.6,0,1,1,0,0,0,0,1,10.0,3.0,1.0,1.0,14.0,8.0,-,1,
Sean Dulic,Germany,CB,Hoffenheim,3 Lg,21,2005,23,22,1958,21.8,1,2,3,1,0,0,3,0,-,-,-,-,-,-,45.7,9,
Tim Oermann,Germany,CB,Leverkusen,Aut Bundesliga,22,2003,18,18,1376,15.3,0,1,1,0,0,0,2,0,10.0,8.0,0.0,11.0,10.0,15.0,-,5,
Tom Rothe,Germany,CB,Union Berlin,Bundesliga,21,2004,21,10,1029,11.4,2,0,2,2,0,0,1,1,10.0,6.0,2.0,35.0,21.0,15.0,24.3,11,0.3
Tristan Zobel,Germany,CB,Paderborn,3 Lg,23,2003,36,35,3208,35.6,1,1,2,1,0,0,7,0,-,-,-,-,-,-,42.3,8,
