Player,Nation,Pos,Squad,25/26 Lg,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,Accurate passes per 90,Chances Created,Possession won final 3rd per 90
Adam Daghim,Denmark,FW,Hoffenheim,Bundesliga,20,2005,27,12,1364,15.2,2,3,5,2,0,0,3,0,18.0,23.0,4.0,20.0,11.0,20.0,17.6,18,0.3
Afonso Moreira,Portugal,FW,Leverkusen,Ligue 1,21,2005,37,18,1722,19.1,8,10,11,4,0,0,3,0,27.0,57.0,4.0,119.0,12.0,22.0,34.0,33,
Alessandro Vogt,Switzerland,FW,Hoffenheim,Swiss Super League,21,2005,35,31,2292,25.5,15,3,18,14,1,1,6,0,54.0,45.0,7.0,17.0,0.0,11.0,4.9,23,
Alexander Røssing-Lelesiit,Norway,FW,Hamburger SV,Bundesliga,19,2007,11,5,321,3.6,0,1,1,0,0,0,3,1,13.0,7.0,1.0,4.0,1.0,2.0,-,-,
Andrija Maksimović,Serbia,FW,RB Leipzig,Bundesliga,19,2007,8,0,93,1.0,0,0,0,0,0,0,0,0,1.0,2.0,0.0,2.0,0.0,0.0,-,3,
Anton Kade,Germany,FW,Augsburg,Bundesliga,22,2004,28,18,1743,19.4,6,0,6,6,0,0,3,0,20.0,18.0,10.0,22.0,13.0,14.0,16.9,26,0.4
Antonio Nusa,Norway,FW,RB Leipzig,Bundesliga,21,2005,31,24,2027,22.5,4,3,7,4,0,0,0,0,9.0,64.0,1.0,68.0,7.0,14.0,20.7,33,0.4
Ayodele Thomas,Netherlands,FW,RB Leipzig,Eerste Divisie,19,2007,18,18,1454,16.2,3,2,5,3,0,0,5,0,20.0,40.0,6.0,25.0,6.0,14.0,-,-,
Christian Kofane,Cameroon,FW,Leverkusen,Bundesliga,20,2006,29,12,1239,13.8,5,4,9,5,0,0,3,0,30.0,17.0,3.0,0.0,2.0,7.0,12.2,17,0.7
Chuki,Spain,FW,Werder Bremen,Segunda Liga (ESP),22,2004,35,26,2424,26.9,7,7,14,6,1,1,4,0,42.0,55.0,11.0,176.0,11.0,15.0,17.4,45,
Cole Campbell,United States,FW,SV Elversberg,Bundesliga,20,2006,6,0,96,1.1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,5.0,0.0,0.0,-,3,
Conrad Harder,Denmark,FW,RB Leipzig,Bundesliga,21,2005,29,8,932,10.4,3,3,6,3,0,0,3,0,21.0,18.0,4.0,13.0,7.0,6.0,13.5,14,0.4
David Mokwa,France,FW,SV Elversberg,2 Lg,22,2004,17,14,1153,12.8,6,0,6,6,0,0,0,0,18.0,11.0,6.0,0.0,0.0,5.0,7.2,6,
Deniz Zeitler,Germany,FW,Paderborn,3 Lg,20,2006,38,37,3014,33.5,15,2,17,13,2,2,2,0,-,-,-,-,-,-,13.6,28,
Dženan Pejčinović,Germany,FW,Stuttgart,Bundesliga,21,2005,30,16,1460,16.2,8,0,8,8,0,0,1,0,22.0,7.0,5.0,5.0,5.0,9.0,16.0,13,
Emil Højlund,Denmark,FW,Schalke 04,2 Lg,21,2005,4,1,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-,1,
Fabio Baldé,Portugal,FW,Hamburger SV,Bundesliga,21,2005,16,3,448,5.0,1,1,2,1,0,0,1,0,4.0,2.0,0.0,16.0,1.0,7.0,-,5,
Farid Alfa-Ruprecht,Germany,FW,Leverkusen,2 Lg,20,2006,28,13,1226,13.6,3,3,5,3,0,0,4,0,25.0,9.0,6.0,51.0,7.0,9.0,18.8,22,
Fynn Schenten,Germany,FW,Köln,Bundesliga,19,2007,7,1,100,1.1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,3.0,0.0,0.0,-,1,
Ilyas Ansah,Germany,FW,Union Berlin,Bundesliga,22,2004,33,23,1892,21.0,5,1,6,5,0,0,1,0,21.0,43.0,9.0,19.0,4.0,9.0,10.6,16,0.7
Jovan Milošević,Serbia,FW,Stuttgart,Bundesliga,21,2005,13,5,488,5.4,3,1,4,3,0,0,2,0,8.0,3.0,6.0,3.0,0.0,2.0,-,3,
Keisuke Goto,Japan,FW,Freiburg,BEL First Division,21,2005,38,32,2878,32.0,12,8,18,9,2,2,5,0,37.0,33.0,25.0,3.0,10.0,22.0,12.8,30,
Keke Topp,Germany,FW,Werder Bremen,Bundesliga,22,2004,20,7,638,7.1,1,1,2,1,0,0,4,0,16.0,7.0,2.0,5.0,1.0,5.0,20.3,8,0.6
Kennedy Okpala,Germany,FW,Paderborn,2 Lg,21,2004,12,2,303,3.4,1,0,1,1,0,0,4,0,18.0,18.0,3.0,11.0,2.0,2.0,-,3,
Kenny Quetant,France,FW,Werder Bremen,Ligue 1,20,2006,10,4,372,4.1,1,0,1,1,0,0,1,0,6.0,3.0,4.0,1.0,1.0,0.0,-,1,
Konstantinos Karetsas,Greece,FW,Dortmund,BEL First Division,18,2007,45,35,2964,32.9,2,14,16,2,0,0,4,0,30.0,82.0,7.0,215.0,12.0,20.0,32.6,66,
