Player,Nation,Pos,Squad,25/26 Lg,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,Accurate passes per 90,Chances Created,Possession won final 3rd per 90
Berkay Yilmaz,Turkey,FB,Freiburg,2 Lg,21,2005,34,33,3018,33.5,1,8,9,1,0,0,7,0,29.0,78.0,3.0,148.0,32.0,54.0,32.5,43,
Elias Baum,Germany,FB,Frankfurt,Bundesliga,20,2005,5,0,75,0.8,0,0,0,0,0,0,0,0,3.0,0.0,0.0,4.0,1.0,0.0,-,1,
Hannes Behrens,Germany,FB,Augsburg,Bundesliga,21,2005,16,15,1318,14.6,1,2,3,1,0,0,0,0,5.0,27.0,1.0,59.0,18.0,18.0,-,-,
Bruno Ogbus,Switzerland,FB,Freiburg,Bundesliga,21,2005,18,14,1177,13.1,0,0,0,0,0,0,1,0,5.0,11.0,0.0,3.0,13.0,16.0,43.4,1,
Kaua Prates,Brazil,FB,Dortmund,BRA Serie A,18,2008,12,5,606,4.2,1,0,1,1,0,0,1,0,5.0,1.0,1.0,11.0,3.0,9.0,-,-,
Keita Kosugi,Japan,FB,Frankfurt,Allsvenskan,20,2006,28,27,2347,26.1,0,5,5,0,0,0,4,0,33.0,47.0,0.0,142.0,29.0,44.0,34.9,49,
Lukas Ullrich,Germany,FB,Gladbach,Bundesliga,22,2004,23,14,1305,14.5,0,0,0,0,0,0,2,0,17.0,11.0,1.0,38.0,21.0,17.0,26.1,14,0.1
Mats Rots,Netherlands,FB,Hoffenheim,Eredivisie,20,2006,34,34,2949,32.8,4,4,8,4,0,0,4,0,27.0,28.0,3.0,82.0,39.0,52.0,34.6,51,
Max Finkgräfe,Germany,FB,RB Leipzig,Bundesliga,22,2004,13,5,504,5.6,1,1,2,1,0,0,2,0,3.0,4.0,0.0,37.0,8.0,12.0,-,12,
Montrell Culbreath,Germany,FB,Leverkusen,Bundesliga,19,2007,12,9,736,8.2,1,0,1,1,0,0,0,0,5.0,11.0,0.0,24.0,8.0,16.0,-,6,
Tom Bischof,Germany,FB,Bayern Munich,Bundesliga,21,2005,26,14,1302,14.5,3,3,6,3,0,0,2,0,15.0,9.0,1.0,26.0,15.0,18.0,75.7,24,0.5
