Player,Nation,Pos,Squad,25/26 Lg,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,Accurate passes per 90,Chances Created,Possession won final 3rd per 90
Aleksandar Pavlovic,Germany,MF,Bayern Munich,Bundesliga,22,2004,24,16,1462,16.2,3,1,4,3,0,0,2,0,19.0,10.0,0.0,15.0,13.0,15.0,93.0,21,0.4
Aljoscha Kemlein,Germany,MF,Union Berlin,Bundesliga,22,2004,30,23,1959,21.8,0,2,2,0,0,0,4,0,22.0,11.0,0.0,9.0,18.0,25.0,33.9,14,0.2
Arijon Ibrahimović,Germany,MF,Bayern Munich,Bundesliga,20,2005,32,25,2169,24.1,2,4,6,1,1,1,2,0,13.0,27.0,5.0,127.0,23.0,18.0,24.2,56,
Arthur Vermeeren,Belgium,MF,RB Leipzig,Ligue 1,21,2005,26,10,828,9.2,0,2,1,0,0,0,1,1,15.0,1.0,0.0,3.0,11.0,11.0,55.3,11,
Assan Ouédraogo,Germany,MF,RB Leipzig,Bundesliga,20,2006,19,13,948,10.5,4,3,7,4,0,0,0,0,4.0,22.0,1.0,4.0,3.0,6.0,23.3,14,0.5
Badredine Bouanani,Algeria,MF,Stuttgart,Bundesliga,21,2004,14,5,463,5.1,0,0,0,0,0,0,1,0,1.0,6.0,1.0,26.0,4.0,3.0,-,5,
Bara Sapoko Ndiaye,Senegal,MF,Bayern Munich,Bundesliga,19,2007,4,2,143,1.6,0,0,0,0,0,0,0,0,1.0,3.0,0.0,1.0,2.0,5.0,-,-,
Bilal El Khannouss,Morocco,MF,Stuttgart,Bundesliga,22,2004,25,19,1630,18.1,4,5,9,4,0,0,6,0,19.0,9.0,1.0,65.0,10.0,21.0,41.3,45,0.5
Bilal Nadir,Morocco,MF,Hamburger SV,Ligue 1,23,2003,28,7,876,9.7,1,5,6,1,0,0,6,1,29.0,8.0,1.0,13.0,9.0,16.0,51.1,11,
Brajan Gruda,Germany,MF,RB Leipzig,Bundesliga,22,2004,13,8,753,8.4,3,3,6,3,0,0,1,0,10.0,12.0,1.0,25.0,0.0,8.0,21.9,17,
Cajetan Lenz,Germany,MF,Hoffenheim,2 Lg,20,2006,34,25,2181,24.2,2,1,2,2,0,0,10,0,31.0,13.0,2.0,11.0,18.0,33.0,28.1,15,
Can Uzun,Turkey,MF,Frankfurt,Bundesliga,20,2005,21,15,1156,12.8,8,4,12,7,1,1,3,0,15.0,26.0,0.0,24.0,3.0,9.0,37.4,20,0.9
Carney Chukwuemeka,Austria,MF,Dortmund,Bundesliga,22,2003,28,8,919,10.2,2,0,2,2,0,0,2,0,11.0,15.0,0.0,1.0,6.0,15.0,32.3,11,0.3
Chema Andres,Spain,MF,Stuttgart,Bundesliga,21,2005,25,14,1310,14.6,3,0,3,3,0,0,5,0,20.0,8.0,1.0,0.0,31.0,16.0,42.5,15,0.3
Clemens Lippmann,Germany,MF,Paderborn,3 Lg,19,2006,25,20,1827,20.3,1,1,2,1,0,0,0,0,-,-,-,-,-,-,18.8,9,
Cyriaque Irié,Burkina Faso,MF,Freiburg,Bundesliga,21,2005,10,3,347,3.9,0,0,0,0,0,0,3,0,11.0,8.0,5.0,3.0,3.0,6.0,-,4,
Dariusz Stalmach,Poland,MF,Werder Bremen,2 Lg,20,2005,25,8,942,10.5,2,3,5,2,0,0,5,0,25.0,17.0,1.0,4.0,16.0,26.0,32.3,19,
Eliesse Ben Seghir,Morocco,MF,Leverkusen,Bundesliga,21,2005,10,2,252,2.8,0,0,0,0,0,0,2,0,3.0,10.0,0.0,9.0,1.0,2.0,37.7,5,
Ernest Poku,Netherlands,MF,Leverkusen,Bundesliga,22,2004,29,16,1482,16.5,5,5,10,5,0,0,0,0,4.0,17.0,3.0,13.0,8.0,9.0,28.1,27,0.4
Ezechiel Banzuzi,Netherlands,MF,RB Leipzig,Bundesliga,21,2005,24,2,597,6.6,0,1,1,0,0,0,3,0,14.0,7.0,0.0,5.0,6.0,10.0,37.7,7,0.2
Felipe Chávez,Peru,MF,Bayern Munich,Bundesliga,19,2007,9,0,116,1.3,0,0,0,0,0,0,0,0,1.0,1.0,0.0,2.0,2.0,2.0,-,1,
Francis Onyeka,Germany,MF,SV Elversberg,2 Lg,19,2007,30,25,2130,23.7,8,1,9,6,2,3,2,0,28.0,9.0,1.0,14.0,3.0,13.0,13.7,23,
Hugo Larsson,Sweden,MF,Frankfurt,Bundesliga,22,2004,25,21,1812,20.1,2,2,4,2,0,0,0,0,7.0,2.0,0.0,9.0,27.0,9.0,44.2,19,0.1
Ibrahim Maza,Algeria,MF,Leverkusen,Bundesliga,20,2005,28,20,1849,20.5,3,4,7,3,0,0,2,0,19.0,36.0,3.0,64.0,16.0,24.0,36.0,28,0.6
Jean Mattéo Bahoya,France,MF,Frankfurt,Bundesliga,21,2005,27,15,1331,14.8,3,4,7,3,0,0,2,0,13.0,22.0,3.0,33.0,12.0,14.0,24.2,31,
Jobe Bellingham,England,MF,Dortmund,Bundesliga,20,2005,32,20,1786,19.8,0,1,1,0,0,0,2,1,15.0,20.0,0.0,5.0,41.0,23.0,46.2,9,0.6
Jonah Sticker,Germany,MF,Paderborn,2 Lg,22,2004,22,7,813,9.0,0,0,0,0,0,0,0,0,6.0,21.0,0.0,9.0,10.0,18.0,28.6,5,
Justin Lerma,Ecuador,MF,Dortmund,ECU Serie A,18,2008,26,15,1588,13.7,2,1,3,2,0,0,0,0,-,-,-,-,-,-,-,24,
Kennet Eichhorn,Germany,MF,Leverkusen,2 Lg,17,2009,19,14,1141,12.7,2,0,1,1,0,0,7,1,21.0,15.0,0.0,0.0,21.0,15.0,22.5,6,
Kofi Amoako,Germany,MF,Hamburger SV,2 Lg,21,2005,33,29,2205,24.5,1,1,2,1,0,0,6,0,33.0,24.0,3.0,20.0,22.0,42.0,31.5,23,
Laurin Ulrich,Germany,MF,Stuttgart,2 Lg,21,2005,36,32,2671,29.7,3,3,6,3,0,0,3,0,28.0,74.0,0.0,29.0,17.0,29.0,24.7,50,
Lennart Karl,Germany,MF,Bayern Munich,Bundesliga,18,2008,26,16,1281,14.2,5,5,10,5,0,0,1,0,5.0,11.0,4.0,29.0,11.0,15.0,49.2,23,0.9
Leon Avdullahu,Kosovo,MF,Hoffenheim,Bundesliga,22,2004,33,32,2834,31.5,0,1,1,0,0,0,5,0,27.0,12.0,1.0,15.0,33.0,30.0,58.3,22,0.7
Luis Engelns,Germany,MF,Hoffenheim,2 Lg,19,2007,17,4,572,6.4,1,0,1,1,0,0,2,0,14.0,23.0,2.0,3.0,8.0,7.0,31.4,2,
Martin Adeline,France,MF,Hamburger SV,Ligue 2,22,2003,34,32,2567,28.5,11,11,22,11,0,0,5,1,72.0,26.0,6.0,25.0,21.0,31.0,32.1,62,
Maurice Krattenmacher,Germany,MF,SV Elversberg,2 Lg,21,2005,22,6,685,7.6,1,0,1,1,0,0,0,0,13.0,42.0,0.0,13.0,1.0,4.0,21.3,9,
Mert Kömür,Germany,MF,Augsburg,Bundesliga,21,2005,28,17,1464,16.3,2,4,6,2,0,0,1,0,26.0,18.0,2.0,60.0,8.0,13.0,22.7,23,0.6
Mika Baur,Germany,MF,Paderborn,2 Lg,22,2004,33,32,2656,29.5,4,5,9,3,1,1,5,0,35.0,18.0,3.0,121.0,36.0,31.0,43.4,48,
Mika Wallentowitz,Germany,MF,Schalke 04,2 Lg,19,2007,13,7,507,5.6,0,1,1,0,0,0,1,0,15.0,1.0,1.0,10.0,5.0,3.0,-,3,
Mirza Catovic,Germany,MF,Stuttgart,3 Lg,19,2007,29,28,2307,25.6,1,0,1,1,0,0,10,0,-,-,-,-,-,-,38.3,26,
Nathan De Cat,Belgium,MF,Hoffenheim,BEL First Division,18,2008,36,34,2725,30.3,2,4,6,2,0,0,8,0,47.0,34.0,3.0,19.0,35.0,32.0,26.8,28,
Noah Darvich,Germany,MF,SV Elversberg,3 Lg,18,2007,29,29,2253,25.0,10,4,14,9,1,2,1,0,-,-,-,-,-,-,21.2,41,
Noel Aseko,Greece,MF,Frankfurt,2 Lg,20,2005,33,31,2363,26.3,3,5,8,3,0,0,8,0,61.0,57.0,5.0,23.0,27.0,33.0,19.2,32,
Oscar Højlund,Denmark,MF,Frankfurt,Bundesliga,21,2005,24,12,1089,12.1,1,1,2,1,0,0,4,1,27.0,5.0,1.0,2.0,7.0,17.0,41.7,7,0.2
Patrice Čović,Croatia,MF,Werder Bremen,Bundesliga,19,2007,15,2,351,3.9,1,0,1,1,0,0,1,0,6.0,2.0,0.0,7.0,4.0,6.0,-,3,
Paul Okon-Engstler,Australia,MF,Köln,A-League,21,2005,23,22,1933,21.5,0,2,2,0,0,0,6,0,33.0,35.0,1.0,8.0,26.0,34.0,54.8,14,
Ruben Müller,Germany,MF,Paderborn,2 Lg,21,2005,22,13,1050,11.7,0,2,2,0,0,0,3,0,14.0,23.0,2.0,3.0,8.0,7.0,31.4,20,
